veh_make,veh_model,MFG_TYPE,MFG_MAKE,MFG_POS,MFG_CNT,F11,F12,F13,New_Auto_Class
ACURA,CL,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,MID SIZE CAR
ACURA,ILX,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,SMALL CAR
ACURA,INTEGRA,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,MID SIZE CAR
ACURA,LEGEND,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,MID SIZE CAR
ACURA,MDX,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,FULL SIZE SUV
ACURA,NSX,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Sport,SMALL CAR
ACURA,RDX,Luxury,ACURA,Luxury,Japanese,Import,Premium,Reliability,MID SIZE SUV
ACURA,RL,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,FULL SIZE CAR
ACURA,RLX,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,FULL SIZE SUV
ACURA,RSX,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,MID SIZE CAR
ACURA,SLX,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,MID SIZE SUV
ACURA,TL,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,MID SIZE CAR
ACURA,TLX,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,MID SIZE CAR
ACURA,TSX,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,MID SIZE CAR
ACURA,VIGOR,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,MID SIZE CAR
ACURA,ZDX,Luxury,ACURA,Luxury,Japanese,Import,Luxury,Reliability,MID SIZE SUV
ALFA ROMEO,GIULIA,Luxury,MERCEDES-BENZ,Luxury,European,Import,Premium,Status,MID SIZE CAR
ALFA ROMEO,STELVIO,Luxury,MERCEDES-BENZ,Luxury,European,Import,Premium,Status,SMALL SUV
ASTON MARTIN,DB9,Luxury,MERCEDES-BENZ,Luxury,European,Import,Premium,Status,MID SIZE CAR
ASTON MARTIN,DBS,Luxury,MERCEDES-BENZ,Luxury,European,Import,Premium,Status,MID SIZE CAR
ASTON MARTIN,RAPIDE,Luxury,MERCEDES-BENZ,Luxury,European,Import,Premium,Status,FULL SIZE CAR
ASTON MARTIN,V8 VANTAGE,Luxury,MERCEDES-BENZ,Luxury,European,Import,Premium,Status,MID SIZE CAR
AUDI,80,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE CAR
AUDI,90,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE CAR
AUDI,100,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE CAR
AUDI,200,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE CAR
AUDI,4000,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE CAR
AUDI,5000,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,FULL SIZE CAR
AUDI,A3,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,SMALL CAR
AUDI,A4,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE CAR
AUDI,A5,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE CAR
AUDI,A6,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE CAR
AUDI,A7,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,FULL SIZE CAR
AUDI,A8,Luxury,AUDI,Luxury,European,Import,Premium,Sport,FULL SIZE CAR
AUDI,ALLROAD,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE SUV
AUDI,CABRIOLET,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,SMALL CAR
AUDI,COUPE,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE CAR
AUDI,Q3,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,SMALL SUV
AUDI,Q5,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE SUV
AUDI,Q5 HYBRID,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE SUV
AUDI,Q8,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE SUV
AUDI,Q7,Luxury,AUDI,Luxury,European,Import,Luxury,Sport,MID SIZE SUV
AUDI,R8,Luxury,AUDI,Luxury,European,Import,Premium,Sport,MID SIZE CAR
AUDI,RS 3,Luxury,AUDI,Luxury,European,Import,Premium,Sport,MID SIZE CAR
